100 500
28 27 1000
6 5 1000
14 73 473
15 22 627
29 76 759
44 96 732
39 38 1000
21 5 231
98 97 1000
29 0 136
52 88 634
17 87 53
69 72 754
50 81 625
55 8 380
4 3 1000
29 90 778
63 44 984
21 50 123
1 0 1000
90 89 1000
6 79 991
57 70 826
80 67 251
68 38 169
84 79 951
93 6 129
99 2 234
37 36 1000
4 97 847
14 13 1000
29 35 341
40 87 541
67 66 1000
21 20 1000
49 80 753
75 92 841
21 84 463
40 36 601
32 65 772
4 53 135
48 99 100
31 64 212
37 53 674
83 26 798
42 32 550
6 52 245
87 75 805
29 28 1000
55 54 1000
41 40 716
81 80 1000
67 48 529
69 63 884
30 43 501
16 41 798
26 77 500
81 89 45
26 25 1000
11 8 371
56 21 484
43 89 233
84 85 58
55 4 856
30 29 1000
73 27 983
58 77 708
68 77 853
91 90 1000
71 70 1000
12 1 949
52 43 871
15 14 1000
45 7 483
48 33 524
7 53 970
9 59 550
53 7 104
22 56 195
20 2 310
47 22 916
56 55 1000
60 56 38
21 23 5
11 55 132
84 48 659
38 59 384
82 81 1000
2 3 382
13 43 484
52 51 1000
48 25 259
48 14 969
48 75 228
93 68 910
79 28 927
72 71 1000
83 31 12
81 59 231
35 9 385
33 31 901
64 19 386
54 53 1000
60 94 147
7 69 562
28 40 452
86 85 1000
20 34 737
5 89 823
18 56 356
34 23 884
2 60 698
45 96 940
20 52 923
59 91 5
81 0 127
33 32 1000
83 46 676
23 50 946
69 38 542
66 65 1000
61 64 751
97 40 700
91 25 752
26 39 903
83 17 566
67 42 526
88 92 909
91 97 700
8 75 794
48 99 823
51 50 1000
26 67 872
90 54 260
20 60 774
34 45 926
56 23 416
35 34 1000
68 56 384
55 86 485
52 35 799
41 40 1000
65 67 279
19 96 770
44 87 787
97 85 62
38 84 452
11 19 943
48 58 630
16 15 1000
18 58 201
99 29 417
74 73 1000
38 31 635
30 28 58
56 94 630
18 52 280
44 43 1000
65 64 1000
64 27 911
50 98 727
37 34 812
3 2 1000
72 91 879
74 79 490
54 67 700
17 16 1000
98 91 656
30 15 730
86 74 76
63 25 229
8 7 1000
34 99 651
72 61 233
2 1 1000
81 74 389
37 67 820
7 35 306
48 35 475
66 41 192
94 59 226
5 4 1000
56 94 392
94 28 75
57 39 13
60 59 1000
57 56 1000
40 33 161
56 66 187
25 17 471
53 52 1000
25 24 1000
50 55 585
83 48 848
40 39 1000
33 2 760
21 94 464
44 81 823
27 97 986
54 48 315
4 51 93
38 1 564
38 33 55
14 58 555
79 55 878
58 57 1000
3 14 77
55 39 130
82 74 144
12 91 379
34 23 283
86 47 494
45 44 1000
42 15 211
89 48 878
