100 99
28 27 1000
6 5 1000
14 73 473
15 22 627
29 76 759
44 96 732
39 38 1000
21 5 231
98 97 1000
29 0 136
52 88 634
17 87 53
69 72 754
50 81 625
55 8 380
4 3 1000
29 90 778
63 44 984
21 50 123
1 0 1000
90 89 1000
6 79 991
57 70 826
80 67 251
68 38 169
84 79 951
93 6 129
99 2 234
37 36 1000
4 97 847
14 13 1000
29 35 341
40 87 541
67 66 1000
21 20 1000
49 80 753
75 92 841
40 36 601
32 65 772
4 53 135
48 99 100
31 64 212
37 53 674
83 26 798
42 32 550
6 52 245
87 75 805
29 28 1000
55 54 1000
41 40 716
81 80 1000
67 48 529
69 63 884
30 43 501
16 41 798
26 77 500
81 89 45
26 25 1000
11 8 371
56 21 484
43 89 233
84 85 58
55 4 856
73 27 983
58 77 708
68 77 853
91 90 1000
71 70 1000
12 1 949
15 14 1000
45 7 483
48 33 524
7 53 970
9 59 550
47 22 916
56 55 1000
60 56 38
21 23 5
38 59 384
82 81 1000
52 51 1000
48 25 259
72 71 1000
83 31 12
64 19 386
60 94 147
7 69 562
86 85 1000
20 34 737
18 56 356
33 32 1000
83 46 676
61 64 751
74 73 1000
25 24 1000
73 78 424
96 95 1000
54 10 758
92 62 594
WEIGHT SUM : 65055
