100 500
95 31 0
35 72 3
21 23 5
59 91 5
61 48 7
83 31 12
21 53 12
57 39 13
58 17 15
51 42 17
61 99 22
60 56 38
55 23 39
49 73 44
81 89 45
36 84 45
38 53 48
17 87 53
71 49 53
38 33 55
25 85 56
84 85 58
30 28 58
97 85 62
64 4 73
94 28 75
86 74 76
3 14 77
88 7 78
72 46 82
42 65 85
91 3 85
23 97 85
22 15 86
90 31 86
4 51 93
93 16 94
92 42 98
48 99 100
5 81 102
89 33 103
53 7 104
75 99 118
68 73 122
21 50 123
81 0 127
93 6 129
55 39 130
28 90 131
11 55 132
4 53 135
53 91 135
29 0 136
82 74 144
93 36 146
60 94 147
85 66 151
89 67 151
30 54 154
40 33 161
36 17 162
39 14 168
68 38 169
41 85 179
44 38 180
52 74 181
30 90 184
32 19 185
45 34 186
56 66 187
62 44 190
66 41 192
81 4 192
22 56 195
25 94 199
18 58 201
60 2 201
63 1 209
3 19 210
42 15 211
31 64 212
58 94 212
61 93 214
84 68 217
89 2 223
94 59 226
48 75 228
63 25 229
21 5 231
81 59 231
43 89 233
72 61 233
99 2 234
27 10 237
6 52 245
4 36 250
80 67 251
22 63 251
35 69 251
48 25 259
90 54 260
83 30 261
94 50 265
71 80 271
44 51 271
15 89 273
65 67 279
18 52 280
36 89 280
34 23 283
30 71 284
4 78 287
24 63 287
41 77 295
35 9 298
30 17 300
7 35 306
27 43 306
24 44 307
20 2 310
54 48 315
50 58 319
28 43 321
91 90 322
1 92 330
97 87 333
30 3 335
29 35 341
23 91 341
37 31 344
91 7 345
38 58 350
18 56 356
43 48 359
38 6 365
11 8 371
74 99 371
27 8 374
12 91 379
55 8 380
2 3 382
38 59 384
68 56 384
35 9 385
6 81 385
64 19 386
81 74 389
56 94 392
52 5 398
88 27 404
39 36 408
66 99 413
56 23 416
99 18 416
99 29 417
52 50 421
73 78 424
58 70 430
39 47 437
24 67 438
49 56 441
66 35 443
28 40 452
38 84 452
26 65 459
43 46 460
8 55 462
21 84 463
21 94 464
90 64 466
92 35 466
71 32 466
25 17 471
14 73 473
48 35 475
19 89 475
45 43 477
68 83 477
45 7 483
56 21 484
13 43 484
41 60 484
55 86 485
74 79 490
11 41 491
90 68 492
86 47 494
26 77 500
30 43 501
6 68 507
20 20 508
48 33 524
81 34 524
67 42 526
67 48 529
57 16 529
23 99 538
19 34 539
40 87 541
10 43 541
69 38 542
95 78 545
42 32 550
9 59 550
1 8 550
77 14 550
14 58 555
43 22 555
7 69 562
38 1 564
83 17 566
60 21 566
84 77 567
90 97 569
92 21 572
16 18 577
28 80 578
39 71 580
50 55 585
29 91 586
94 1 587
5 6 593
34 76 594
92 62 594
31 44 600
40 36 601
87 13 603
22 26 606
30 27 606
69 92 610
97 85 620
4 64 621
96 52 622
50 81 625
15 22 627
33 95 627
48 58 630
56 94 630
52 88 634
38 31 635
34 99 651
31 35 651
77 49 653
98 91 656
84 48 659
13 29 660
37 53 674
83 46 676
14 55 678
45 79 679
16 89 680
35 35 686
65 81 694
24 15 697
2 60 698
46 39 699
97 40 700
91 97 700
54 67 700
57 69 701
91 98 703
18 9 703
58 77 708
1 89 711
44 8 713
41 40 716
0 77 721
50 98 727
30 15 730
44 96 732
17 68 734
20 34 737
97 78 743
61 64 751
91 25 752
1 39 752
49 80 753
84 89 753
69 72 754
77 78 755
54 10 758
42 20 758
29 76 759
33 2 760
86 0 768
75 77 769
19 96 770
32 65 772
20 60 774
15 87 775
29 90 778
53 25 781
43 94 782
53 18 783
92 84 783
44 87 787
29 13 793
8 75 794
46 35 797
83 26 798
16 41 798
52 35 799
59 45 801
30 41 802
87 75 805
79 58 805
98 86 809
78 81 811
37 34 812
18 41 813
14 54 814
37 67 820
5 89 823
48 99 823
44 81 823
57 70 826
41 79 828
43 91 828
13 26 829
75 63 830
31 63 830
0 79 836
68 1 837
62 7 838
63 68 838
6 28 840
75 92 841
68 11 844
52 47 846
4 97 847
83 48 848
62 14 851
8 1 852
68 77 853
25 4 853
55 4 856
60 96 857
50 18 865
96 10 870
52 43 871
26 67 872
67 82 875
99 77 875
73 18 877
79 55 878
89 48 878
72 91 879
87 58 880
69 63 884
34 23 884
33 76 889
58 1 891
81 59 895
8 35 897
33 31 901
26 39 903
72 85 903
79 15 905
16 85 905
28 75 906
88 92 909
66 87 909
93 68 910
64 27 911
26 98 914
47 22 916
66 79 921
83 60 922
64 46 922
20 52 923
46 76 925
34 45 926
79 28 927
81 40 929
69 39 932
56 60 937
30 89 939
45 96 940
30 39 941
11 19 943
75 62 944
23 50 946
98 70 947
12 1 949
86 99 950
84 79 951
88 46 951
17 4 954
62 60 956
12 7 958
53 84 966
48 14 969
67 12 969
7 53 970
21 58 972
65 19 978
8 26 979
73 27 983
63 44 984
27 97 986
6 79 991
28 27 1000
6 5 1000
39 38 1000
98 97 1000
4 3 1000
1 0 1000
90 89 1000
37 36 1000
14 13 1000
67 66 1000
21 20 1000
29 28 1000
55 54 1000
81 80 1000
26 25 1000
30 29 1000
91 90 1000
71 70 1000
15 14 1000
56 55 1000
82 81 1000
52 51 1000
72 71 1000
54 53 1000
86 85 1000
33 32 1000
66 65 1000
51 50 1000
35 34 1000
41 40 1000
16 15 1000
74 73 1000
44 43 1000
65 64 1000
3 2 1000
17 16 1000
8 7 1000
2 1 1000
5 4 1000
60 59 1000
57 56 1000
53 52 1000
25 24 1000
40 39 1000
58 57 1000
45 44 1000
19 18 1000
70 69 1000
49 48 1000
42 41 1000
73 72 1000
96 95 1000
93 92 1000
94 93 1000
38 37 1000
75 74 1000
20 19 1000
23 22 1000
18 17 1000
95 94 1000
99 98 1000
9 8 1000
97 96 1000
63 62 1000
13 12 1000
62 61 1000
48 47 1000
12 11 1000
79 78 1000
24 23 1000
68 67 1000
69 68 1000
80 79 1000
76 75 1000
27 26 1000
11 10 1000
83 82 1000
87 86 1000
84 83 1000
31 30 1000
88 87 1000
50 49 1000
92 91 1000
7 6 1000
32 31 1000
59 58 1000
89 88 1000
47 46 1000
77 76 1000
64 63 1000
61 60 1000
46 45 1000
10 9 1000
85 84 1000
36 35 1000
78 77 1000
34 33 1000
43 42 1000
22 21 1000
WEIGHT SUM : 309677
