10000 200000
8870 7408 303
675 43 221
5072 789 393
7436 9419 113
5665 5863 359
7319 3586 674
8920 2472 941
6070 5044 625
2382 4146 269
2982 5082 822
4102 9972 561
642 1203 670
59 10 456
9188 668 456
7378 2413 787
3282 3865 267
6477 6205 716
403 4393 543
9192 3431 106
4120 4119 1000
9936 1141 20
790 3284 386
6674 2746 339
1370 5768 620
8018 9733 929
3987 7120 336
2584 9960 692
2752 9404 816
3577 2814 714
1625 1626 643
5263 4814 781
740 8765 363
2110 7277 891
213 3027 603
4733 9438 381
4388 4988 9
7368 2336 513
7140 45 647
4400 417 889
4024 3010 439
6389 8047 947
2386 3707 930
1599 1598 1000
5215 499 994
6101 314 664
6243 9755 857
6888 777 177
7756 8797 319
5508 2116 873
8551 9918 294
3452 4185 997
9453 4276 642
8964 45 941
893 3460 131
9606 6633 647
9362 2537 245
5116 7229 984
9466 133 158
8526 6734 680
449 7635 939
9513 8365 227
2546 5037 502
9170 8259 965
6851 6850 1000
4871 4657 569
8662 8652 640
7937 1332 11
9555 8884 788
2940 7115 571
1578 1577 1000
9299 4851 192
7682 2110 711
1350 9318 498
2418 3635 491
1922 4547 637
1710 8522 102
6605 3942 669
3305 7373 517
6510 2381 463
9891 8266 869
9645 4982 930
2955 466 308
8871 2171 286
1271 1095 490
1534 1141 419
6966 5066 150
4103 2357 389
9822 1399 506
4386 4385 1000
4337 6343 1
4502 4501 1000
150 7615 224
1114 1113 1000
5156 5155 1000
439 580 970
6961 7058 625
4590 5860 46
8709 7742 845
6040 5569 972
3322 4577 934
8790 2583 634
259 4838 417
8885 7315 773
7560 3865 56
7788 4197 127
645 1750 891
4856 955 728
559 3955 753
7967 4812 818
7104 7131 809
6095 5623 285
9509 6986 788
3400 9324 355
5830 7936 820
3149 3148 1000
7177 3518 542
8735 8575 41
9900 7473 779
2583 5836 453
5975 6952 332
5674 1593 233
2 4983 544
4436 7585 456
4183 4182 1000
702 2419 123
9156 8560 470
7517 7516 1000
6380 9305 750
9379 136 561
1752 5328 835
738 737 1000
1236 4674 385
2653 7078 965
3437 6300 660
6563 6972 661
3345 5977 509
4930 1094 104
9107 9106 1000
6643 6814 674
9986 8444 454
9329 4201 882
7144 1617 265
8701 8828 860
5979 1917 931
3715 64 779
1935 9507 29
8245 4605 782
8066 5194 490
9229 8159 127
3740 8454 722
5399 5398 1000
1411 6160 532
2074 4221 654
699 6959 46
2832 348 930
6393 5466 695
2161 2830 64
7667 3127 930
7824 5307 952
2403 9553 199
8793 3810 690
8945 8552 540
1938 160 632
9459 3217 238
5398 3681 421
6178 4202 762
5121 6788 318
