10000 9999
8621 700 0
8631 1414 0
415 3353 0
759 1769 0
3698 4647 0
2001 9625 0
2502 2800 0
5530 3527 0
6537 7932 0
1036 2965 0
1927 4704 0
9658 2956 0
9679 7491 0
7529 8562 0
4189 6370 0
670 7952 0
3685 347 0
4425 8695 0
4726 2162 0
5824 1612 0
7373 4419 0
4676 575 0
136 5084 0
765 6543 0
7338 2652 0
9132 2380 0
2996 5317 0
4376 5270 0
9259 6054 0
2744 958 0
2255 832 0
2764 1653 0
5453 823 0
2502 9139 0
7405 6771 0
2768 2401 0
5386 2454 0
1177 4219 0
3959 6640 0
1813 9098 0
5182 4658 0
8860 7892 0
1092 8197 0
6346 9483 0
378 6949 0
1255 4255 0
4735 9679 0
7195 8117 0
5618 4740 0
7995 1883 0
8093 6919 0
908 6309 0
7350 8086 0
9608 654 0
568 2466 0
1144 7203 0
4995 6070 0
5862 4971 0
4814 4852 0
3712 1928 0
6288 4932 0
1732 6238 0
4943 8842 0
5292 8519 0
2641 1245 0
3211 906 0
1001 9239 0
905 6958 0
7698 97 0
963 4087 0
3609 5685 0
7462 6897 0
4646 8637 0
4185 5309 0
7022 8497 0
554 8556 0
7645 3814 0
7079 5601 0
8630 7364 0
6204 9800 0
7723 2151 0
4873 4730 0
4998 1298 0
215 1945 0
4849 5289 0
9091 2800 0
413 7280 0
4387 5062 0
6141 5824 0
5896 1673 0
935 3849 0
4633 6585 0
4514 2136 0
4806 9425 0
6615 9784 0
1620 7196 0
8127 1422 0
7635 9881 0
6042 7237 0
216 8230 0
5210 4754 0
9214 7670 0
6576 1509 0
3784 4682 0
4910 964 0
1693 6427 0
596 5319 0
1998 1663 0
1982 2168 0
6895 6853 0
2532 6456 0
7780 5792 0
1199 348 0
438 6115 0
3124 7904 0
4982 598 0
2395 9110 0
6175 4619 0
2956 756 0
4068 1867 0
9000 9888 0
2558 6714 0
6418 9032 0
890 9562 0
9920 7458 0
77 2832 0
4021 9282 0
2075 263 0
6169 3074 0
2753 4599 0
1111 872 0
1908 4809 0
868 2806 0
901 5679 0
7722 359 0
3045 6570 0
512 301 0
1806 9316 0
7480 1553 0
1385 9498 0
9898 6102 0
8685 6464 0
7318 966 0
400 1067 0
955 4722 0
960 4452 0
8883 1216 0
845 9375 0
5630 5142 0
5371 8260 0
