10 100
8 6 13
0 6 8
6 7 13
2 7 19
4 4 15
3 6 12
8 6 9
7 4 5
6 5 3
2 3 5
0 6 10
0 0 7
9 6 9
6 9 17
9 1 18
3 5 13
7 5 19
8 0 14
9 3 18
8 3 17
8 8 4
0 0 7
5 1 5
2 4 7
2 5 14
4 9 9
0 5 19
6 1 11
2 3 2
8 8 4
7 9 1
5 6 11
2 7 15
9 4 12
3 1 4
8 9 17
9 6 4
9 1 4
5 9 16
5 8 4
2 3 16
3 2 8
3 6 13
8 6 3
8 0 14
2 8 8
2 2 3
3 8 20
4 9 10
3 6 20
3 2 9
4 0 9
4 7 4
4 3 2
2 5 7
5 0 4
8 9 4
9 7 2
0 9 6
8 5 16
1 0 18
0 0 9
0 9 5
8 3 9
3 6 18
4 3 3
9 8 14
9 2 15
0 3 3
0 5 5
8 5 10
3 0 2
9 9 4
1 7 15
0 2 10
8 4 9
4 6 14
9 8 16
9 5 4
5 0 1
1 8 18
3 2 12
5 6 9
5 3 16
2 0 7
1 2 13
8 1 9
3 5 18
6 6 19
8 5 14
0 6 4
6 0 2
8 5 1
6 1 15
8 2 16
6 6 14
8 3 7
9 6 1
6 4 8
8 1 4
