student_id	proper_submit	heap	disjoint_set	kruskal	late_submission	total
201720698	20	20	20	40		100
201720803	20	20	20	40		100
201720809	0	0	0	0		0
201721153	20	20	20	40		100
201720661	20	0	20	40		80
201720781	20	20	20	40		100
201720682	20	20	20	40	-20	80
201720806	20	20	20	40		100
201720802	20	0	20	0		40
201720696	0	0	0	0	-20	0
201721177	20	20	20	40	-20	80
201720759	20	0	20	0	-20	20
201720766	0	0	0	0		0
201720761	20	20	20	40		100
201720760	0	0	0	0		0
201721172	20	10	0	0		30
201721173	0	0	0	0		0
201720690	20	20	10	0		50
201720811	20	20	20	40	-20	80
201720713	0	0	0	0		0
201720662	0	0	0	0	-20	0
201720669	0	0	0	0		0
201720665	20	20	20	40	-20	80
201720697	0	0	0	0	-20	0
201720775	20	20	20	40		100
201720670	20	10	20	0		50
201721155	0	0	0	0		0
201720789	0	0	0	0		0
201720801	0	0	0	0		0
201721081	0	0	0	0	-20	0
201720701	0	0	0	0	-20	0
